code;activite;phase;icr;classant
AAFA001;1;0;655;Y
AAFA002;1;0;415;Y
AAFA003;1;0;762;Y
AAFA004;1;0;894;Y
AAFA005;1;0;473;Y
AAFA006;1;0;427;Y
AAFA007;1;0;772;Y
AAFA008;1;0;458;Y
AAGA900;1;0;187;Y
AAGB001;1;0;38;NA
AAJA001;1;0;384;Y
AAJA002;1;0;350;Y
AAJA003;1;0;421;Y
AAJA004;1;0;308;Y
AAJA005;1;0;280;Y
AAJA006;1;0;406;Y
AAJH001;1;0;298;Y
AAJH002;1;0;251;Y
AAJH003;1;0;230;Y
AAJH004;1;0;209;Y
AAKA001;1;0;95;Y
AALA002;1;0;479;Y
AALA004;1;0;120;Y
AALA900;1;0;717;Y
AALB001;1;0;1074;Y
AALB002;1;0;641;Y
AALF002;1;0;20;NA
AAMP003;1;0;97;NA
AAMP173;1;0;29;NA
AAMP387;1;0;14;NA
AANB001;1;0;1022;Y
AANL001;1;0;289;NA
AANL002;1;0;401;Y
AAPA900;1;0;700;Y
AAQM002;1;0;40;NA
AAQN002;1;0;150;NA
AAQN004;1;0;135;NA
AAQN900;1;0;135;NA
AAQN901;1;0;135;NA
AAQN902;1;0;150;NA
AAQN903;1;0;150;NA
AAQP002;1;0;163;Y
AAQP003;1;0;52;NA
AAQP004;1;0;163;NA
AAQP005;1;0;124;NA
AAQP006;1;0;89;NA
AAQP007;1;0;30;NA
AAQP008;1;0;315;NA
AAQP009;1;0;75;NA
AAQP010;1;0;179;Y
AAQP011;1;0;51;NA
AAQP012;1;0;227;NA
AAQP013;1;0;182;NA
AAQP129;1;0;0;NA
AAQP350;1;0;0;NA
AAQP900;1;0;75;NA
ABCA001;1;0;439;Y
ABCA002;1;0;226;Y
ABCA003;1;0;201;Y
ABCA004;1;0;204;Y
ABCB001;1;0;107;Y
ABCC001;1;0;298;Y
ABFA001;1;0;556;Y
ABFA002;1;0;762;Y
ABFA003;1;0;284;Y
ABFA004;1;0;746;Y
ABFA005;1;0;658;Y
ABFA006;1;0;670;Y
ABFA007;1;0;364;Y
ABFA008;1;0;773;Y
ABFA009;1;0;855;Y
ABFA010;1;0;693;Y
ABFC001;1;0;513;Y
ABFC002;1;0;465;Y
ABGA001;1;0;9;Y
ABGA002;1;0;98;Y
ABGA003;1;0;65;Y
ABHB001;1;0;86;NA
ABHB002;1;0;36;NA
ABJA001;1;0;372;Y
ABJA002;1;0;293;Y
ABJA003;1;0;174;Y
ABJA004;1;0;284;Y
ABJA005;1;0;268;Y
ABJA006;1;0;212;Y
ABJA007;1;0;342;Y
ABJA008;1;0;276;Y
ABJB001;1;0;96;NA
ABJB002;1;0;32;NA
ABJC900;1;0;250;Y
ABLA001;1;0;230;Y
ABLB001;1;0;105;Y
ABLB002;1;0;88;Y
ABLB003;1;0;91;Y
ABLB006;1;0;30;NA
ABMA002;1;0;200;Y
ABMA003;1;0;300;Y
ABML001;1;0;107;NA
ABMP001;1;0;11;NA
ABQL002;1;0;111;NA
ABQL003;1;0;111;NA
ABQP001;1;0;27;NA
ABSA001;1;0;473;Y
ABSA002;1;0;668;Y
ABSA003;1;0;529;Y
ABSA004;1;0;347;Y
ABSA005;1;0;470;Y
ABSA006;1;0;668;Y
ABSA007;1;0;529;Y
ABSA008;1;0;384;Y
ABSA009;1;0;279;Y
ABSA010;1;0;557;Y
ABSA011;1;0;427;Y
ABSA012;1;0;399;Y
ACFA001;1;0;697;Y
ACFA002;1;0;621;Y
ACFA003;1;0;809;Y
ACFA004;1;0;1156;Y
ACFA005;1;0;1041;Y
ACFA006;1;0;690;Y
ACFA007;1;0;1008;Y
ACFA008;1;0;614;Y
ACFA009;1;0;737;Y
ACFA010;1;0;1041;Y
ACFA011;1;0;690;Y
ACFA012;1;0;744;Y
ACFA013;1;0;902;Y
ACFA014;1;0;1173;Y
ACFA015;1;0;779;Y
ACFA016;1;0;1183;Y
ACFA018;1;0;730;Y
ACFA019;1;0;925;Y
ACFA020;1;0;1034;Y
ACFA022;1;0;885;Y
ACFA023;1;0;994;Y
ACFA024;1;0;829;Y
ACFA025;1;0;1678;Y
ACFA026;1;0;968;Y
ACFA027;1;0;1059;Y
ACFA028;1;0;750;Y
ACFA029;1;0;809;Y
ACHA001;1;0;280;Y
ACHA002;1;0;154;Y
ACHA003;1;0;233;Y
ACHB001;1;0;315;Y
ACHH001;1;0;282;Y
ACHJ001;1;0;338;Y
ACPA001;1;0;476;Y
ACQC001;1;0;298;Y
ACQH001;1;0;78;NA
ACQH002;1;0;58;NA
ACQH003;1;0;58;NA
ACQH004;1;0;63;NA
ACQJ001;1;0;129;NA
ACQJ002;1;0;108;NA
ACQK001;1;0;53;NA
ACQK002;1;0;70;NA
ACQK003;1;0;78;NA
ACQL001;1;0;111;NA
ACQL002;1;0;300;NA
ACQL003;1;0;107;NA
ACQL004;1;0;131;NA
ACQL005;1;0;115;NA
ACQL007;1;0;100;NA
ACQL008;1;0;107;NA
ACQN001;1;0;105;NA
ACQN002;1;0;117;NA
ACQN003;1;0;123;NA
ACQN004;1;0;116;NA
ACQP002;1;0;41;NA
ADCA001;1;0;516;Y
ADCA002;1;0;319;Y
ADCA003;1;0;552;Y
ADCA004;1;0;103;Y
ADCA005;1;0;345;Y
ADCA006;1;0;637;Y
ADCA007;1;0;552;Y
ADEA001;1;0;487;Y
ADEA002;1;0;355;Y
ADEA003;1;0;588;Y
ADEA004;1;0;583;Y
ADEA005;1;0;685;Y
ADFA002;1;0;562;Y
ADFA003;1;0;276;Y
ADFA004;1;0;588;Y
ADFA005;1;0;390;Y
ADFA006;1;0;408;Y
ADGA001;1;0;50;Y
ADKA001;1;0;95;Y
ADLA001;1;0;196;Y
ADLB001;1;0;14;Y
ADLH001;1;0;103;NA
ADLH002;1;0;56;NA
ADLH003;1;0;103;NA
ADNB001;1;0;29;NA
ADNH001;1;0;130;NA
ADNH002;1;0;159;NA
ADPA001;1;0;250;Y
ADPA002;1;0;367;Y
ADPA003;1;0;69;Y
ADPA004;1;0;167;Y
ADPA005;1;0;461;Y
ADPA007;1;0;410;Y
ADPA008;1;0;372;Y
ADPA009;1;0;372;Y
ADPA010;1;0;492;Y
ADPA011;1;0;439;Y
ADPA012;1;0;170;Y
ADPA013;1;0;538;Y
ADPA014;1;0;331;Y
ADPA015;1;0;108;Y
ADPA016;1;0;161;Y
ADPA017;1;0;120;Y
ADPA018;1;0;340;Y
ADPA019;1;0;394;Y
ADPA020;1;0;174;Y
